name,weight,Class,Energy,Protein,Potassium,Phosphorus,Sodium
멸치볶음,65.7,볶음,190.0,23.6,365.9,681.7,1420.9
멸치꽈리고추볶음,57.3,볶음,130.6,14.9,250.2,426.1,918.0
미역볶음,93.0,볶음,116.7,2.9,436.0,72.8,1036.6
미트볼케첩볶음,150.6,볶음,451.8,10.7,344.8,96.9,1319.1
미트볼피망볶음,154.8,볶음,281.7,9.5,394.5,101.2,719.6
버섯마늘볶음,68.6,볶음,59.8,2.7,218.0,71.1,621.1
버섯애호박볶음,69.3,볶음,33.7,1.5,162.2,41.8,273.4
부추잡채,81.0,반찬,172.1,1.4,200.6,35.9,528.0
부추표고버섯볶음,81.1,볶음,115.6,7.5,258.7,90.8,487.3
북어채볶음,40.1,볶음,127.5,15.3,318.5,153.7,507.8
비엔나소세지볶음,163.6,볶음,303.3,16.8,587.3,245.8,1535.2
삼겹살고추장볶음,135.1,볶음,319.7,11.3,375.2,137.4,613.4
삼겹살김치볶음,144.0,볶음,233.1,9.0,427.3,122.3,470.6
삼겹살야채볶음,132.6,볶음,297.7,11.2,351.0,136.9,678.1
새우마늘쫑볶음,63.5,볶음,119.1,6.9,225.2,124.8,379.5
생선묵김치볶음,97.2,볶음,85.7,4.9,246.1,70.0,504.0
생선묵새우볶음,82.2,볶음,156.9,8.7,197.5,118.8,477.8
생선묵야채볶음,128.5,볶음,180.2,10.8,229.7,121.1,1532.2
소세지김치볶음,138.1,볶음,231.4,10.4,420.1,154.1,1022.0
소세지야채볶음,177.7,볶음,246.0,11.4,555.8,179.1,1245.4
